"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b10000010101100101110000010100000101101000110010100000000000110110000000001100000",0,4522.292335263411,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",14,3,0,0,0.8585592918795593,277.7509975149599,232.7235095574313,3.7533821286717584,0
1,"b00000100001100011000011101000000101111100010110100000100000010111000010101110011",0,5324.840998938165,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",8,3,0,0,0.8213336873398965,44.37829152309441,200.68350272150587,4.252522230369669,1
2,"b00000110100100011111000000110000101111000110010110001100101110011000111001100000",0,3838.613895822481,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",8,6,0,0,0.7736996521652033,326.7540585438543,16.339945766116063,2.303193677443629,2
3,"b11001110001000001111000000000000101111000110000100001000011100110000001001000000",0,7203.688091698227,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",10,0,0,0,0.8129989756475879,468.38778028166695,349.7930463855186,3.3792331286320128,3
4,"b11001110001000111111000000100000101110000110010100000000111100100000111001000000",0,7838.249507835906,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",6,0,0,0,0.7599063953772769,105.68555700856295,498.7834310654034,5.228269449148108,4
5,"b00000000001111000010010100000000001000000001110000000000000001110011001100000000",0,4930.425258320772,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",24,6,0,-1,1.074471920097137,411.9544074901279,184.83636289883123,0.695810525689859,5
6,"b00000100011000001000111100000000100011000001110000000010000001111100010010010011",0,5974.900377100734,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",13,2,0,0,0.7433918365762482,95.21200514024342,497.2612695834281,1.9577574440787942,5
7,"b01000100000100011110000000110000101110000111111110001100111110110000110001100011",0,4610.915204535416,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",9,9,0,0,0.9110189914843194,51.68729919333207,85.69195056814897,2.091797388768317,6
8,"b00100000000001100000000010000000011001000000000111000000011100000000010000000000",0,1499.5848631138344,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",28,6,-1,1,0.7576689873595303,111.28541763437607,32.085342875332216,2.7995305182490533,6
9,"b00011100001101111100001100111000011001100001100100000000001000000001100000000000",0,1661.7461094034281,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",22,11,-1,0,0.7758466336856175,404.160303125059,407.11265530793565,1.468802804577555,6
10,"b01000001000000000100000101111000001110110101100000011000000000011000000000000011",0,1214.6265576675428,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",24,10,0,0,0.7827790575062935,299.0890333019605,59.81734285903543,0.7551997776301791,6
11,"b00000001000000001110000010110000001111000000011100001011111000001100110000000010",0,3795.24076698458,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",20,9,0,1,0.9491486423782293,261.3363302993232,211.0763763141975,3.7161347656451227,6
12,"b01100011000000000100000110011000000111000000000110110000000011011100000001110010",0,2952.8318552559003,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",20,9,0,0,0.801453116844249,229.91513290596168,384.9571786353944,3.0337512469178662,6
13,"b01010000000001100100011110000010100011000011111000000000000000000110001000001000",0,1183.6280749672637,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",24,10,0,-1,0.865462977250242,204.52952359008788,80.73718283774636,4.581414493566696,6
14,"b01101000000001110000001111110000101111000000000000000000110000000001000000000000",0,2552.200533776307,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",24,8,-1,0,0.7257515169640069,206.42195783935597,362.46058379877906,1.0306899757423018,6
15,"b11001010101000001011000000000000001100000101010000001000111110100000110001100000",0,5053.364087122661,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",12,1,0,0,0.7732942579100397,211.44694691826317,498.26188873403214,5.346341465463471,6
16,"b01001110101000010110000000000000101001000111000000000000000100011000001101000000",0,2840.3038467696238,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",17,2,0,0,0.7601897443098079,300.7544646772115,379.27134087723175,4.342284750983655,7
17,"b01001010101000001011000000100000101110000111111100001001101000111000111001100000",0,7461.8132608030355,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",8,4,0,0,0.7316387728641024,167.51692676555783,253.21979772072308,2.127434481260309,7
18,"b00000100001000110000000110000100111000010011110100001100111010111000011000100000",0,584.4819126715361,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",17,9,0,0,0.7538871271137817,217.48593235813152,241.33443588796536,4.711406325729688,8
19,"b11001110100000011111000000100000101010000111010100001000111110110000111001100000",0,8234.909948115903,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",4,1,0,0,0.7517897309334405,435.85703158593776,344.83565579719004,1.9583493050729317,8
20,"b01101100000100001111000000101100100100000011001100001000010010100011100011000010",0,3556.300833521899,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",18,10,0,0,0.8966845955785404,288.88949744694816,24.24199098900137,3.73578907659801,9
21,"b11101100000100011111000011110000111111100111111110111110111110010000000101100000",0,3306.909374031846,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",8,16,0,0,0.9634054155987767,363.72825997150227,109.16729398155124,4.54459102287603,9
22,"b00000110001000001100011100010000101001000011110000000000000011111000010101110011",0,7101.539817008064,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",8,0,0,0,0.711668916897858,264.0382703184782,223.32496434162294,1.0953422197067537,9
23,"b00000110010000011101110100010010101001100010110100000100000011111100010101110011",0,6556.328334472867,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",5,3,0,0,0.7232908724184758,212.11276971954746,424.8487976625138,3.975065647761753,10
24,"b00000000000000001010000000000000111000001011100000000000000000000000000000000000",0,3983.5752411174553,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",30,3,0,-1,0.7343129850354575,467.4173291643089,4.915582503501306,6.071072343814247,11
25,"b00001010101000111101000000100000001111000111000100001000000010110000000001100000",0,6910.242787427298,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",13,1,0,0,0.809048491210241,192.38972510979985,347.83293187425323,4.331353830232421,11
26,"b00000000000000000000010010000000010100000011000100011000111000110000010000000001",0,2298.3242023029534,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",25,5,1,1,0.7574496664456916,501.8565400158965,188.72940301560575,1.1877022467790601,12
27,"b11001010101000011111000000100000101011000011010101001000010110110000110000100000",0,5439.124296300721,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",8,2,0,0,0.7396364965479454,264.61340381395627,263.88313024551076,5.349034884475113,12
28,"b01000010000110000101010010110000011110100001110000010100000000011100010000000010",0,2239.5474554033985,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",19,8,0,0,0.76840401656584,41.909866888579806,151.2715241100618,2.082032793557314,13
29,"b00000000001010001110011101000000110101000000000000000001110100000000000000000000",0,1017.4263181119411,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",26,7,-1,0,0.6864397555876905,308.591079303528,302.39366113518855,0.08943097264541439,13
30,"b11001100001000111010000001101100101110000011111000011001111001000001100010000010",0,2712.1147943329715,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",14,11,0,0,0.804595171496803,119.8543592872179,294.24075886324357,4.377039703583662,13
31,"b00000010001100001001011110010000110010100011111100000110000001011000000100000000",0,4506.918071238308,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",15,5,0,0,0.7572111496413902,98.73371703325324,32.30319227878838,2.9173284768475414,13
32,"b11001110101000011110000000100000101101000111010100000100111110110000011001000000",0,7228.850160860813,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",6,2,0,0,0.7549950916529707,208.31525926155416,390.72739123316853,6.245761008986289,13
33,"b00000000000000000000111110110001101111000000000100000010000000000000010000000000",0,1099.7197683586273,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",25,5,-1,0,0.7154637972049267,0.26683733545991006,144.8348465233787,4.914839213769726,14
34,"b00000000001000000000100100000001011000001110100010010011001000110110000000000001",0,3263.505054457568,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",26,10,0,0,0.7353938533942265,232.0141517158128,371.5746961688716,1.7113420298752327,14
35,"b00000110011100010101011100010000101111100011110100000100000011011000000001100000",0,6841.847003505454,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",9,3,0,0,0.7166543740595056,282.2056137940789,255.68691606012806,2.8691785134334795,14
36,"b01100001000111000110111110011000011111100001111111111110111001100000000000100000",0,969.2175082757255,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",17,20,0,0,0.7981167447066999,297.3123099093042,71.21010834776453,1.6010864792761144,15
37,"b00000010001000011011000000100000101110000111111000001100100010110000000010000000",0,4934.799883853989,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",17,5,0,0,0.8094769218745399,56.847786289804624,49.23906743201951,1.2974864881181576,15
38,"b00011000000011000001001100111101100100000100110000000000000010011000000100010010",0,1227.489564431722,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",24,11,0,0,1.136420077560813,390.3341239612485,206.3706455769722,2.6095167179788925,15
39,"b11001110101000111111000000100000101110100111110111001100101010110000111001000000",0,3869.9978280413416,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",4,6,0,0,0.8543923090662756,40.072217992510495,51.31632977243829,2.2493925380163144,15
40,"b00001110001000011001000000100001101111000110011101101100111100010000110001100000",0,5083.833321086963,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",9,5,0,0,0.8177533201635302,307.5185097799954,78.9360114358132,0.9140935761052589,16
41,"b01100101000000011000010010000001001100000000100111000110011000011000001100000000",0,1988.074596504664,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",26,13,0,0,1.0045753389293475,166.6251996313416,161.44561454524595,2.26328551113746,17
42,"b11001110001000011111000000100000101000000101010100001000111110100000110000000000",0,6649.243471056088,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",10,1,0,0,0.772010514594511,11.295137839185754,258.92960088910223,5.7473233820268055,17
43,"b00000000000000000010001000000000100100001111000000000110000000000000000000000000",0,4369.137257669732,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",31,5,1,-1,0.7665544103649503,306.4313631434816,165.1004481690859,1.621128013471452,18
44,"b00000010000100001100111100110001100110100011110100000000000011011000010001110011",0,6843.0477346532425,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",9,3,0,0,0.7401675241379189,77.56458868593482,257.35656628717265,5.412407628283034,18
45,"b10001000000110000000110000000001001011100001110111000100101100010000000001000000",0,840.2769048279919,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",22,9,0,0,0.7687605214473684,405.55706115229265,272.105634717447,0.47736993603207434,19
46,"b00000010001001111010010110100001110110000011111100011111111000001000110000000010",0,3127.9820553161467,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",16,14,0,0,0.773876382023713,443.6896821044099,25.220863371779096,2.9309666921402204,19
47,"b00000010001000001001110000010011101111000011110100000100000000111000000101100000",0,4505.605322372606,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",14,4,0,0,0.7611470372981202,124.65544089873694,133.16894101688877,4.998896369588229,19
48,"b00000000000000000000000000000000100011000011100100000000000000000000000100000000",0,2835.3529469323876,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",28,0,0,0,0.7219792948026938,363.0055148852499,480.9907263454638,0.4051876239187553,19
49,"b00000100000000001111011000001000111111000011110100011001110001111001100000000000",0,1881.057099186813,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",16,10,0,0,0.7743571791442823,99.52879999187816,40.98472461086868,0.790456492674241,19
50,"b00011000000001110000110001001101110111110011111100110000011000000000000000000000",0,1401.1944868574838,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",23,15,-1,0,0.7605431599631145,27.6891755045154,328.67748173753813,0.9139473558588979,19
51,"b00010000001001000000000010000000001010000000110100000100000000000000000000001000",0,1169.6543710431804,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",29,4,0,0,0.742320489401309,8.266778546996433,358.5175147091727,5.641478052730633,19
52,"b00000000000000000000000001100101000011001111010101001010001100011101000000000001",0,285.05792829203574,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",24,10,0,0,0.7653719362674393,152.17236874035726,441.0624686031773,2.3214292631514035,19
53,"b00000000000000000000011100001000000111000000000100000001011010100100000000000000",0,445.0000089265394,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",29,7,0,-1,0.7389404016976854,43.264720366949625,293.1794775523179,3.4909643529626857,19
54,"b00000010010000001001000000000010001000000110100100000000100000001000000000110000",0,1000.4146087471311,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",27,5,0,0,0.9411020713742079,58.05823419509252,202.83918388910595,5.325851813219565,19
55,"b00000010001100001001111000010000101010100001110100001100000011111000010101110011",0,4681.347515035062,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",7,2,0,0,0.8112761800285602,196.0262165004009,459.10491660092066,2.6587721794209727,19
56,"b00000000000000000000000000100000101111100110111110001000010000000000000000100000",0,4602.446245010792,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",23,4,0,0,0.7604868050265232,100.55660594361068,92.90891811673416,5.330279491084612,20
57,"b11000010101100010111000000100000111110000111111111001100111110110000111001100000",0,5311.138813245678,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",5,8,0,0,0.8190224310513694,174.32467917045008,213.3520515574537,2.7836706897998296,20
58,"b00000000000111000000111111000011011110000101100000000011000000001100000000100000",0,1227.7492872466423,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",24,11,0,-1,0.7735253142084221,439.6534650259067,87.7861230682215,0.6395769616458405,21
59,"b11001110100000011011000000100000101111000011010000001100011110110000100001100000",0,5593.389783233322,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",8,2,0,0,0.7347830355238356,118.01045933324545,199.4725803787358,1.1805221205739571,21
60,"b00000011001100001101011100110000001010101001110100000011000011110100000101110000",0,5512.499003739682,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",11,6,0,0,0.7779443956738907,157.26883185995942,380.7434709623427,3.6852788340850857,22
61,"b11001010101000111111000000100000101111000011101110001100101110110000111001100000",0,6403.259248538729,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",4,5,0,0,0.8657643035960294,30.263393878686063,272.10332966352235,2.515105354162378,23
62,"b00011000000000000011001111110000111101000000110100000011111010000000001100000000",0,313.3424520086921,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",22,12,0,0,0.7713122300987414,427.8581181112625,395.60684088876945,1.3716175105883566,24
63,"b00100000000011110000000001100000100111000011010000000000000000000000000000000000",0,3610.603281214145,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",26,4,-1,0,0.6987551858610755,406.8552921414576,49.229554843035906,2.6173972206373852,24
64,"b00001000000000100010000110011001101111100110111100000010100000000001001001000010",0,1493.897895679699,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",21,11,0,0,0.8202920209646938,36.50838865046328,333.47975855866304,3.3172447048238447,24
65,"b00000000010000000000011000110101111111111111111011111001111000000110000000000010",0,2333.6652865208116,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",21,19,0,0,0.8946113407219464,229.3298183227136,68.07311567192312,5.352815456382817,24
66,"b01011110000010000000000000000100000000000000000001000000011100000000110000000000",0,1183.8412971279015,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",27,4,-1,1,1.0137356625210765,471.3387085851477,422.3881179065239,5.479308395349538,24
67,"b01000001100111100110001110011000100010100001000010101110000001111001000000010000",0,1318.1593018411345,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",21,14,0,0,0.8587062652461513,23.32573392751694,275.4597871725283,0.15301508236638145,24
68,"b01000000000000000000011000000001111110000001111110000000111100000000100000000000",0,4171.830665951382,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",23,7,-1,0,0.7634128482034099,72.47768660645607,462.563956765238,5.48347929894671,24
69,"b00110000000001100000000100110000100010110000100101000000011100000000100000000000",0,2442.0015919519865,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",27,9,-1,1,0.7547688300884757,102.63936664249245,123.37975064147572,2.7605931103189434,24
70,"b00000010101100111111100001100000000111000011111000001111000010000000000000000000",0,2364.284602831066,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",19,9,-1,0,0.7845970023106771,177.37945440795525,353.18984554150353,4.320897895277012,24
71,"b00001100001000001000010000100001000111000011100000001100000010110000000001000000",0,2587.2187142497205,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",22,5,0,-1,0.7584001308409855,10.106398194137661,3.705328905513917,3.538806648050616,24
72,"b00000000000000000000000000010000000000000111111110011010001001101000000000011001",0,2777.1082444699764,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",25,8,1,0,0.7073342519888861,298.4161649560936,236.40415843133908,4.055401431437009,24
73,"b01100000001100011000000001100000111111000111111100001101011110111000110001100001",0,4087.6024793374304,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",11,11,0,0,0.7778240203640026,465.8596798545436,26.76466517771097,5.84489773969956,24
74,"b11001010001000000011000000000000000111000101010100001000101010100000111001000000",0,6291.830091285493,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",14,1,0,0,1.1946401704340308,181.050668028919,335.94448090321407,4.4625597651891304,24
75,"b00001110100000111011000001100001101110000111010000001000111000100000100010000010",0,6398.660285391128,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",12,4,0,0,0.7691854929625763,274.9794649184749,321.6483191692057,3.455418778804299,25
76,"b00000000011100000101111100100000001011000001110110000100010001111000000101100000",0,5429.191045624127,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",13,4,0,0,0.7069477025083503,189.3468733796929,416.0105581175627,0.3243682004381776,26
77,"b01000000000000101111000001100000100111000011010110000101111100110000101001000000",0,4117.562363001542,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",12,4,0,0,0.7846173999238929,458.44766994813153,81.89708020198835,1.6972013131098302,27
78,"b00000010010000010110000000110011111000000111100000000011111000000000000000011000",0,2098.5720592925536,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",23,10,0,0,0.8656297394017116,391.0896560481885,502.0485582234772,5.161711090233379,28
79,"b00000000010000011100000001110000101000000010100000000011100000000000000000000000",0,3369.5803976064085,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",28,6,-1,1,0.7301743211417714,269.12692352675094,235.8477415506054,1.5250036990479057,28
80,"b00000010001000000101011100110100100111100011010100000110000000111000010101110001",0,4464.297593189911,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",11,5,0,0,0.8658558769330155,102.60072841833568,57.75732141574578,0.6496618994535311,28
81,"b00000000000000100000000110111000110111110110000000001110000011011000001100000000",0,2006.9031232535265,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",23,11,0,0,0.7597385566349877,463.4327277846895,353.1332627387896,3.6239083155924097,29
82,"b00000000000110000000011000000001001100001100110000011101100000000000100000000000",0,2294.307082008838,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",29,10,0,-1,0.7477219727244632,12.52318307240804,118.3994740925138,5.0201503625890265,29
83,"b00000000000000000000000000110000001110000011110000100001000000000000000000000000",0,1977.5947344827648,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",29,4,-1,0,0.7412401867096234,439.0047817528846,208.6734914883032,4.546858722522135,29
84,"b01001110101000011011000001100000101110000100000100001000111010110000100001100000",0,6092.901713932439,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",10,2,0,0,0.7670641994712436,251.33547034685446,363.23877275090695,-0.0209285777906223,29
85,"b01100011100011100100000110011000111011110000111010111110000001011100000000010001",0,1202.0159286899259,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",18,17,0,0,0.7873388881242895,160.38801847246754,244.08300961034607,1.1280294170921592,30
86,"b01000000000100000000000000000000000000000111000000001000001000000001000000000100",0,1235.1792899374584,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",30,3,0,-1,0.8239283103811345,231.878755260336,484.0851189185833,1.9429843181220405,30
87,"b11001000101000000111000000100000100111000111000100001000111100010000001001100000",0,5693.169154986348,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",10,0,0,0,0.7763528826257046,360.773115652828,424.43954213774197,4.13013751200063,30
88,"b01000000000001100001000000110001100100000010011000110001100011101110111000010000",0,45.71850148598185,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",23,13,0,0,0.7757172594137387,107.76532969677054,506.5089819208264,6.369288319263227,31
89,"b00000000000000100000001001000000101110000000011111010011100001111100000001000000",0,2210.2074705263553,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",24,10,1,0,0.7310534561967128,323.9706502788894,291.6488274950053,1.439005085111055,31
90,"b00000000001100000100101111000000101000010000100000001110010000010011000100000000",0,2082.5458549719224,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",24,8,1,0,1.0290047426135676,449.7020218473525,466.17692738888576,4.764403536635496,31
91,"b00000110001100001100110100010000101011100011110100000100000001111000000101110011",0,6329.1764268115785,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",5,0,0,0,0.767803719003774,59.39038763698079,506.95162946147957,1.6328862949777025,31
92,"b00000011000000000100001100000000001001100001100100101010000000011000000000110010",0,6886.145618115357,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",21,4,0,0,0.8818285779314144,406.43760981895065,186.42602178204817,5.8026323402429885,32
93,"b10011000000011100000011100001001001111110000101011000011001100001101000000010000",0,-107.92585156957489,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",25,18,0,0,0.8076977905514672,370.4434398278721,408.2185026195675,6.008571568985366,32
94,"b11001100101000011111000000000000101111000111000100001000011100110000010001100000",0,7623.372324197622,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",7,0,0,0,0.7433802080546549,232.063510040304,458.7630680762917,4.674215747564465,32
95,"b11001110001000011111000001100000101111000011110001001100101110110000111001100000",0,6819.989106035587,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",5,5,0,0,0.7955514284798912,184.57410578850562,160.6834392788818,5.92234388107634,33
96,"b00000100000000011101010000100010111010000000111100000111000001001100000000000000",0,2197.600972979516,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",22,8,0,0,0.748204449758414,163.05166751021983,441.1048039435934,1.2107578178533425,34
97,"b00000110011100001100111000110000100011100001110100000100000011111000010101110011",0,4543.218047464061,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",4,1,0,0,0.8141248381207623,502.9225863609492,288.72906538042275,0.9783901449635519,34
98,"b00001010001100111011100010101000000111100011001011010111100000010000000010000000",0,714.606502226192,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",20,13,0,0,0.741710764624403,304.8245909662604,381.4408147586241,5.962565269540766,35
99,"b00000110011100011001011100100000111111000010111100000110000011011000010000000011",0,5032.596016004943,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",11,7,0,0,0.7914304235510067,471.9203860613313,164.23035208126348,1.5286933880782163,35
100,"b00000000000000000000001100000000011000000000100000000000000000000000000000000000",0,15086.771354920555,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",32,1,-1,-1,0.7120355425530573,431.27292919477594,16.03282343197168,4.286356133811207,35
101,"b11001010100000011111000000000000101111000111010000001000111000110000010001100000",0,6180.128213670396,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",8,0,0,0,0.7608963364346613,148.239341679344,212.28905016916917,3.787269877329292,35
102,"b01000011000111000110000010110000111111100001110100110110000001111000010000110011",0,3649.5276034163207,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",13,12,0,0,0.8029358420805904,362.05715765737295,241.0888536617254,3.1089399941832685,36
103,"b01000001000110000100001110011000001100100001110111100111010001111000000001000000",0,2221.3247323401984,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",19,12,0,0,0.7618913690077123,254.5935543231609,196.12808803127996,5.327166105463405,36
104,"b00000000000000010001000011000000101100000001111000001111110011011010000010000100",0,1562.232350232599,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",25,13,1,0,0.7776652688293733,42.10299071467549,353.3272798401136,2.5119572369196277,36
105,"b01000101000000011000000000100100101110000000000100001000111110000000011001000001",0,2787.3336350643067,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",18,4,0,0,0.8362403689098787,186.95732719495044,372.6655057980167,2.746197753280338,36
106,"b10000110000000011101010001111001111110000011111011011001110111110001000010100000",0,1792.4143684502396,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",14,16,0,0,0.8863465921324349,484.936056734092,26.001827927105875,1.1906113364056912,36
107,"b01000011000000011111000100100100110111000011011110101100011110110000110001100011",0,2756.619354819628,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",10,11,0,0,0.783947802571679,205.60291503750025,44.652836418975696,2.5345162418467115,36
108,"b00000110011000001100001000100000111101100001110100000111000001011100010101011010",0,6944.741489844118,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",11,6,0,0,0.8038893094932444,223.75758221022107,39.470437948050524,0.5960424909310631,36
109,"b11001110101000011011000010101000101111000111110100000100110110100000100001100000",0,5324.0093563688,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",7,5,0,0,1.2866403475771304,156.40199711036712,111.7085898439883,5.805973504253524,37
110,"b11001100001000111010000000101100011110000111010110001000101000100000001100000000",0,2959.735079166685,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",13,5,0,0,0.738730221816128,416.9404665556029,466.02589976656844,2.6361458848631774,38
111,"b11001110101000011111000000000000101110000110010100001000111000110000110001100000",0,8208.134554063068,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",6,0,0,0,0.7551366776643377,135.91580066270382,331.9429421860589,2.060724226530175,38
112,"b00000000000000010000000111100000100111000010011100001000011000000000100000000001",0,2776.9258706626892,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",23,5,0,1,0.7707217975311343,264.93626296523195,266.4521170783191,1.063171520863201,39
113,"b11001110101000011111000000100000100010000110010100001000001100110000011000100000",0,6533.10469037561,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",9,0,0,0,0.7267630766468397,234.18588247081917,436.4440427416564,2.5369672304505886,39
114,"b11001110101001111101000000100000101111000111011110001000011100110000111001100000",0,7097.066651006166,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",2,3,0,0,0.7647517828765893,241.32763398438792,338.36121545960253,2.7765198231496635,40
115,"b01001010001000111111000001100000101100000001010100001000111010110000010001000000",0,6220.078766521899,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",11,2,0,0,0.7853655300222309,97.26679699361307,158.9796814534922,3.050794190439464,41
116,"b00000110010100001101111100011010101111100011110100001100000011111100010101110011",0,6177.170366545422,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",1,5,0,0,0.7953480841656378,91.34870544302652,130.24898312898128,4.145441671098248,42
117,"b00001000000110000000110000010000000101100001011000000111001000010000100010100000",0,1813.8065667077615,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",25,9,0,0,0.810849234489712,379.4621142970759,413.15774147035904,1.6912539824993595,43
118,"b01001010101000000011000000000000111101000101110110001000110110100000010001000000",0,4304.886983612545,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",14,4,0,0,0.9820969340429014,29.916359694007753,106.42033762904725,2.6262554454284457,43
119,"b00000001000101011100010010000000010000010001100011011011000010000000001000000000",0,-519.3737173729203,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",29,13,0,0,0.883705810421251,419.61909846734676,398.05594105551387,4.351319447810846,43
