node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
4,1001000011000011010101110111011000101010110011100000011110011000000000000,,7,1,0,323.166
4,10001000001010001111001000101001101000000011001101110101011000011000010010100000,100011111011101010100010001010101101011101100011010101110010110000000010100,6,0,1,0.185
4,100001000001000011010001110111111000101010010010000010011110011010000010001,100011111011101010100010001010101101011101100011010101110010110000000010100,7,1,1,0.079
4,1001000011000011000100010111011000101010110010100010011110011000000000000,,9,0,0,565.261
4,10001000001011001111000000101001101110100011011101110100011000011000000010110000,,5,2,0,185.982
4,1001001011000011010101110111011000100010010010000010011110010010000010000,100011111011101010100010001010101101011101100011010101110010110000000010100,7,0,1,0.104
4,1001000011000011010101110011010000101010100110100010011110011000000010001,100011111011101010100010001010101101011101100011010101110010110000000010100,7,1,1,12.004
4,10001000001011000101001000101000111110000011011101110101011000011010010000100000,,6,2,0,299.372
5,10000101100010111100000000001001111100010000100010011000000111001110010000000,,6,1,0,84.446
5,10000101100010101001000000001001111100010010110010001000000010001110000000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,8,0,1,0.229
5,10000100100110100101000000001001111100010011110010011000000110000111000000100,,6,2,0,600.179
5,10000000101110101101000000001001111100010000110010011000000100001100010000000,,8,1,0,293.578
5,10000101100010011100000000001001111100010010110000011000000100001110000000100,,8,1,0,539.851
5,10000101100011111001000000001001111100110000110010011000000110011111010000000,,3,2,0,63.703
5,10000101100010011101000000001100111100010010110000011000000110001110011000000,,6,2,0,458.863
5,10000101100010110100000000001001110100000010110000011000000100001111010000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,8,0,1,0.097
5,10000100101110111001000000000001111100010010110000011000000110001110010000000,11000010001110111011000000010101110100000110100100001011001011100011000000000101,6,1,0,40.534
5,10000101100110111001000000001001111100010010100010001000000100001111010000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,5,0,1,0.053
5,10000101100010101100000000001001111100010010010010011000000100001110010000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,7,0,1,15.481
5,10000101100010111101010000001001111100010010110010011000000010001110010000000,,4,1,0,62.214
5,100000001110001100000011001001100001000111110010000000000101101100110100001000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,6,1,1,169.036
5,10000101101110111101000000000001111000010010100000011000000110001010010000000,11000010001110111011000000010101110100000110100100001011001011100011000000000101,7,1,0,0.172
5,10000101100010111001000000001001111100000010010010011000000110001010011000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,7,1,1,5.357
5,10000101100111111101010000001001101100010000110010011000000010001111000000000,,5,2,0,207.715
5,10000101100010111001000000001001101100010010100000010000000010001110010000000,,9,0,0,343.156
5,10000100100010110101000000001001111100010000000010011000000110001110010000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,8,0,1,15.544
5,1010110001100000011001001101001000011110010000000010111101000110000001000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,5,0,1,13.588
5,1010100001100000011000001001001000111100010000000010111101000100100001000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,8,0,1,0.078
5,101001100001100000011001001001001000101110010000000010111101000100100001000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,7,1,1,0.215
5,10000101100110111001000000001001101000010010110010010000000010001111010000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,6,0,1,0.398
5,10000101100010111101000000001001111100010010110010011000000100001111010000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,3,0,1,0.032
5,101001110001100000001001001101001100111110010000000000111101100100100001000,,5,2,0,75.924
5,101100000111101000000001001101100010000110010001000000110001111010000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,7,0,1,2.767
5,10000101100010111101000000001001101100010010010010001000000110001110011000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,6,1,1,0.07
5,1100010111101000000001000111100010010110010011000000110001101010000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,6,0,1,52.574
5,11011110001100000001011001101001000111010010000000011101001000110100001000,,6,3,0,290.042
5,10000001100010111001000000001000111100000010110010011000000100001111000000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,8,0,1,9.195
5,11011110001100000011000001101000000011110010000000010011001000100100001000,,8,1,0,544.213
5,10000101100010111111010000001001111100010010110010011000000110001110001000000,,4,3,0,264.259
5,10000001100010110101000000001001101100010001110010011000000110010100010000000,,8,1,0,526.956
5,10000101100110110101000000001001101100010010110010010000000110001110000000110,,6,2,0,288.104
5,10000101100010111101000001001001111100010000100010011000000010001111010100010,,5,3,0,261.809
5,10000101100100110101000000001001101100010010010010011000000110011100000000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,7,0,1,3.707
5,10000001100110001101000000001001111100010011110010001000000100001111000000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,7,1,1,63.559
5,10000101100010011101000000001001111100010010110010011000000110001111010000000,1000010001110110011000000010101111100100110100100000011001011110011000000000101,3,0,1,0.005
5,10000101100010010101000000001000101000010011110010011000000110001110010000000,,8,1,0,321.748
5,10000000100110111001000000001001110100010011110010011000000110001000010000000,,8,1,0,294.369
